QuestionNumber,QuestionType,QuestionText,OptionA,OptionB,OptionC,OptionD,LeftItems,RightItems,CorrectMatches,Answer 1,Answer 2,Answer 3,BlankAnswers,Explanation
91,multiple-choice,A company with multiple applications spanning different business units wants to send a standard confirmation email to customers whenever a case is created. Which is the appropriate layer of the Enterprise Class Structure (ECS) for the email correspondence?  Unit Organization Implementation Division,,,,,,,,B,,,,"In Pega's Enterprise Class Structure (ECS), standard functionalities that are shared across multiple applications within an organization, such as sending a confirmation email, should be placed at the Organization layer. This allows for reusability and standardization across various implementations within the organization."
92,multiple-choice,"Which two statements describe the role of the cache manifest in a mobile app? (Choose two.)  Allows downloading of rules for offline use with a mobile app. Provides access to static resources such as HTML files, image files, or JS files. Enables users to continue interacting with mobile apps while offline. Supports debugging efforts by providing a run-time view of the rules accessed by the app.",,,,,,,,A,B,,,The cache manifest in a mobile app facilitates the use of the app while offline by allowing the download of rules and static resources. This ensures that users can access the app's functionality and interface elements even when they do not have an internet connection.
93,multiple-choice,Which two design configurations limit the need for horizontal scrolling when an application is used on a mobile device? (Choose two.)  Use grid layouts rather than repeating dynamic layouts to display tabular data.  Set the importance for columns in repeating dynamic layouts. Limit text fields to a width of 200 pixels. Set the width for layouts in percentages.,,,,,,,,B,D,,,"To prevent horizontal scrolling on mobile devices, setting the importance of columns allows for the most critical information to be shown first, potentially hiding less important columns on smaller screens. Using percentage widths for layouts ensures that the layout adapts to the screen width, which can also help prevent horizontal scrolling."
94,multiple-choice,"You want to allow users to use an application on a mobile device, even if the device is not connected to a network.  Which configuration option supports this requirement?  Simulate external data sources when the application is offline. Source repeating layouts using report definitions. Configure UI elements to use native controls on mobile devices. Source drop-down lists using data pages.",,,,,,,,D,,,,"To support offline use of applications on mobile devices, you should source UI elements such as drop-down lists using data pages, which can be configured to be available offline. This allows the application to use locally cached data to populate the UI elements even when the device is not connected to a network."
95,multiple-choice,Offline support requires which two configurations? (Choose two.)  Access groups set up to allow offline access to users. Appropriate case types configured for offline processing. An authorization activity to manage offline permissions. A set of privileges to run sections in an offline environment.,,,,,,,,A,B,,,"For offline support, it's necessary to have the access groups configured to allow offline access to users so that the correct rules and data can be synchronized to the user's device. In addition, the case types must be configured to function properly in an offline environment, ensuring that  users can create, update, and submit cases without a network connection."
96,multiple-choice,Which two configurations can you use to include access groups into your Product rule? (Choose two.)  Export the access groups using the Access Manager. Add the access groups to the application record. Add the access group to the Product record in the Individual instances to include section. Associate the access groups with a ruleset included in the application.,,,,,,,,B,C,,,"To include access groups in your Product rule, you can add the access groups to the application record, which incorporates all the necessary rules for the application. Additionally, you can add the access group directly to the Product rule in the 'Individual instances to include' section, which allows you to specify individual rules and data instances that the Product rule should include."
97,multiple-choice,"Your application contains the following versions of a service level named AuthorizeClaim.   The application is being updated with a new version of the AccountManage ruleset. As part of the update, the service level is no longer circumstanced for AccountOpen cases. The update must retain the circumstancing for the other case types in the application. Which option do you use to reset the circumstancing for the AccountOpen case type?  Copy the non-circumstanced rule to the AccountOpen class and select the base rule option. Make the circumstanced rules in the AccountOpen class unavailable. Withdraw the circumstanced rules in the AccountOpen class. Block the circumstanced rules in the AccountOpen class.",,,,,,,,C,,,,Withdrawing the circumstanced rules in the AccountOpen class is the correct action to stop using a circumstanced rule. This allows the non-circumstanced (or base) rule to be used instead without affecting other circumstanced versions of the rule for different case types.
98,multiple-choice,Which two statements are valid regarding Pega Web Mashups? (Choose two.)  A mashup display starts by calling either a flow or a harness from a Pega application. Pega Platform limits a mashup to working on existing cases. A mashup can allow access to Dev Studio for full system configuration. A user can view their worklist in an external portal and select items to take action on.,,,,,,,,A,D,,,
99,multiple-choice,"A form must support accessibility. How do you enable a user to specify a date?  Configure a text box to allow date entry. Use a calendar control that displays an entire year. Use a calendar control that displays an entire month. Provide separate controls for month, day, and year.",,,,,,,,C,,,,"To support accessibility, it's recommended to use a calendar control that displays an entire month. This allows users who rely on screen readers or keyboard navigation to select a date without the need for precise mouse control or having to manually input the date, which can be error-prone."
100,multiple-choice,A client requests that you add a footer to the Case Manager portal. How do you satisfy this request?  Update the portal format in the skin applied to the portal. Update the portal type on the portal record. Change the section layout on the harness referenced on the portal record. Configure a navigation record to describe the new portal format.,,,,,,,,A,,,,"Adding a footer to the Case Manager portal can be done by updating the skin that's applied to the portal. Skins in Pega define the look-and-feel of user interfaces, including headers, footers, and other elements."
101,multiple-choice,On which type of rule can you configure edit validate rules?  Properties Flow actions Activities Case types,,,,,,,,A,,,,Edit validate rules are associated with properties to validate the property value when a user inputs data. Edit validate rules contain a Java function that is called to check the property value for correctness.
102,multiple-choice,"When designing reports with multiple data sources, in which two ways is an association rule different from a class join? (Choose two.)  You can join multiple classes with class joins, while you cannot join multiple classes with associations. Anyone with the appropriate permissions can use associations when creating reports in the User portal. Class joins are unique to each report. Associations are reusable in any report. A class join is required to add a filter condition to your report.",,,,,,,,B,C,,,"An association rule differs from a class join in that it is a reusable rule that can be used by anyone with appropriate permissions when creating reports. This makes it available across multiple reports. Class joins, on the other hand, are specific to each report definition and are not reusable in the same way."
103,multiple-choice,A Fulfillment report needs to list the user ID of the employee who packages the items to ship in an Order case. The report provides information from the MyCo-Orders-Work-Ship and Data- Admin- Operator-ID classes. Which two options independently satisfy the report requirements? (Choose two.)  Configure a class join on the Fulfillment report definition to join operator information to each case. Add the user ID to the Fulfillment report definition as a parameter. Specify both classes on the Pages & Classes tab on the Fulfillment report definition. Use an association rule to join operator information to each case to populate the Fulfillment report.,,,,,,,,A,D,,,"To satisfy the report requirements, you can configure a class join on the Fulfillment report definition to join the operator information to each case. Alternatively, you can use an association rule to achieve the same effect. Both these options allow for the relevant operator information to be displayed alongside the shipping information in the report."
104,multiple-choice,Which three items are generated and displayed in the compliance score of an application? (Choose three.)  Rules with warnings in the application Pega Platform core rules used in the application Rules with unjustified warnings in the application Unweighted compliance score Percentage of compliant rules in the application,,,,,,,,A,C,,,"The compliance score of an application is generated based on several factors, including the number of rules with warnings, the number of rules with unjustified warnings, and the percentage of compliant rules in the application. This score helps to identify potential issues with rule compliance and areas that may need attention."
105,multiple-choice,DRAG DROP (Drag and Drop is not supported) Drag the name of the Pega Platform log file appender from the left to the matching use case on the right.   See Explanation section for answer.,,,,,,,,A,,,,
106,multiple-choice,"HOTSPOT (Drag and Drop is not supported) You perform a major skim on the ruleset ABC:02-02 to ABC:03-01. In the Answer area, select the ruleset versions that the skim operation uses.     See Explanation section for answer.",,,,,,,,A,,,,
107,multiple-choice,"MyCo insurance company completes the development phase of its application and decides to start the testing phase of the application in a testing environment. To migrate the application, the development team created an instance of the Rule-Admin-Product class that includes the application instances to migrate. Which two components does the Rule-Admin-Product instance include by default when you generate an archive file? (Choose two.)  Checked-in rules MyCo- class instances Data- class instances Checked-out rules",,,,,,,,A,B,,,"When you generate an archive file using a Rule-Admin-Product instance, by default, it includes all checked-in rules which are the rules that have been saved and checked into the ruleset (thereby creating a historical record of the rule). It also includes instances of MyCo- class, which typically contain application-specific rules and data pertaining to the MyCo organization, assuming they're part of the specified application rulesets and versions included in the product rule."
108,multiple-choice,"A data page is used to retrieve data from an external system. If an error occurs, you want to display a message to the user and send an email to the system administrator. How do you implement this requirement?  Configure an activity's input source as the error message and the output as an email. Configure an error handling process that displays the error message and sends an email. Reuse the out-of-the-box ConnectionProblem error handling flow on the Service tab for the connector. Create an error handler data transform that adds an error message to the data page and sends an email.",,,,,,,,B,,,,"The requirement is to handle an error when it occurs and perform two actions: display a message to the user and send an email to the administrator. This can be done by configuring an error handling process that encapsulates both actions. Typically, this would involve configuring a flow or an activity that runs when an error occurs, and it would handle both displaying the error message to the user and sending the email."
109,multiple-choice,"A chemical supplier processes thousands of online orders each day. The supplier provides a material safety data sheet (MSDS) for each of the 100+ cleaning products in stock. When buyers select an item to order, the application displays the MSDS. The MSDS rarely changes. Which of the following options ensures the MSDS is up to date when an order is created?  Create a keyed data page with the MSDS for each cleaning product. Create a parameterized data page that loads a new MSDS for each product. Create a data page that contains the MSDS for each cleaning product. Configure a keyed data page that allows multiple pages for each key.",,,,,,,,D,,,,"Since the MSDS rarely changes, a keyed data page that allows multiple pages for each key is the most efficient. This configuration enables the data page to hold the MSDS for each product, identified by a unique key (e.g., the product ID), in memory for quick retrieval without the need to reload the data frequently."
110,multiple-choice,"A fitness organization wants to ensure that data is entered correctly into an online form when  users apply for, or update, their membership information. Which scenario requires an edit validate rule? Existing members must enter their membership number in the correct format, M-######-0#. The first and last name are required on the form, but a middle name or initial is optional. New members can get a 20% discount, if they enter the Coupon Code SAVE. New members must be at least 18 years of age at the time they sign up for membership.",,,,,,,,A,,,,"An edit validate rule is used to ensure that data is entered in a specific format. For membership numbers that need to match a particular pattern (M-######-0#), an edit validate rule would be the appropriate mechanism to enforce this format upon entry."
111,multiple-choice,"As a best practice, in which situation do you configure a keyed data page?  A long list of images that often changes A long list of vehicle parts that rarely changes A short list of emojis that often changes A short list of delivery options that rarely changes",,,,,,,,B,,,,"A keyed data page is best used for data that does not change frequently and can be retrieved by a unique key. A long list of vehicle parts that rarely changes fits this criterion because the data can be cached and doesn't require frequent updates, optimizing performance."
112,multiple-choice,A city resident can report potholes to the Department of Transportation by logging in to a mobile  Pega Platform application that utilizes the Pega API. Which two Pega API interactions do you use to facilitate this? (Choose two.)  Submit the report using POST/cases Access the related case type to report using GET/casetypes Update the report using GET/cases Log into the application using PUT/authenticate,,,,,,,,A,B,,,"To report potholes through a mobile application using the Pega API, the POST/cases method would be used to submit the report case, and the GET/casetypes method would be used to access the related case type to ensure the correct case type is used for the report."
113,multiple-choice,"In which two scenarios is it a Pega best practice to use Pega Web Mashup over a Pega API integration? (Choose two.)  Minimal resources are assigned to update Pega Platform for each new release. Developers have access to only App Studio when configuring the integration. Users are expected to create cases, open assignments, and manage data privacy. The application is built on Pega Platform version 8.2 using UI Kit.",,,,,,,,A,C,,,"Pega Web Mashup is ideal for scenarios where minimal resources are available for updating the Pega Platform with each new release, as it allows external applications to embed Pega UI elements with minimal maintenance. Additionally, it's useful when users are expected to create cases, open assignments, and manage data privacy within an embedded Pega frame in an external web page."
114,multiple-choice,"An assignment service-level agreement (SLA) is configured with the following details: *Initial urgency: 15 *Assignment ready: Timed delay of 2 hours *Goal: 1 hour and increase urgency by 10 *Deadline: 2 hours and increase urgency by 15 *Passed deadline: 1 hour, increase urgency by 10, and limit events to 10 Assuming no other urgency adjustments, what is the assignment urgency 4.5 hours after the case reaches the assignment?  40 60 25 50",is configured with the following details:,,,,,,,B,,,,"At 4.5 hours after the case reaches the assignment, the SLA would have passed the goal and deadline, and entered the passed deadline period. The initial urgency is 15, the goal adds 10 (total 25), and the deadline adds 15 (total 40). After the passed deadline, the urgency increases by 10  every hour up to a limit of 10 events. By 4.5 hours, there would have been two passed deadline events, adding 20 to the urgency, leading to a total urgency of 60."
115,multiple-choice,"The MyCoSelfService ruleset contains the following instances of the same rule. The only differences between the instances are the circumstance settings and ruleset version. All ruleset versions are in the ruleset list.   Assuming users can access all the ruleset versions, which ruleset version is chosen by rule resolution when .Country = Japan?  A. 01-01-02 B. 01-01-04 C. 01-01-03 D. 01-02-01",01-01-02,01-01-04,01-01-03,01-02-01,,,,A,,,,"Rule resolution will choose the rule that is most specific to the circumstances of the case. Since the country is set to Japan, the rule resolution algorithm will choose the rule version that is circumstanced for Japan. Among the options, 01-01-02 is the circumstanced rule that matches the country condition of Japan and would be selected over the base rule and any other versions."
116,multiple-choice,"HOTSPOT (Drag and Drop is not supported) You perform a major skim on the ruleset ABC:02-02-01 to ABC:03-01-01.  In the Answer area, select the ruleset versions that the skim operation uses to copy rules into ABC:03-01-01.     A. See Explanation section for answer.",See Explanation section for answer.,,,,,,,A,,,,"The major skim operation copies rules from the highest minor version of the current major version of a ruleset to create a new major version. In this scenario, the ruleset being skimmed is ABC:02-02-01, indicating that the current major version is 02. Given this, the ruleset versions that would be used by the skim operation to copy rules into ABC:03- 01-01 would be the highest minor versions within the major version 02. 02-01-01: This is not the highest minor version (since we have 02-02-01), so it would not be used. The answer should be ""No."" 01-02-01: This is from a different major version (01), so it would not be used. The answer should be ""No."" 02-01-05: Despite having a higher patch version, it belongs to the minor version 01 within the major version 02. Since we have a higher minor version 02, this would not be used. The answer should be ""No."" Only the highest minor version from the current major version (in this case, 02-02-01) is used for the skim operation to create the new major version ABC:03-01-01. If the ruleset version 02-02- 01 were listed, the correct answer would be ""Yes"" for that version, but as it is not listed, none of  the provided ruleset versions would be used in this skim operation."
117,multiple-choice,"Several development teams work on different enhancements. The release date for each enhancement is uncertain. Which two options, when performed together, allow each team to keep its work separate? (Choose Two)  Create a new application for each team. Create a new ruleset version for each team. Set up a branch ruleset for each team. Create a production ruleset for each team.",,,,,,,,B,C,,,"Creating a new ruleset version for each team ensures that each team's work is isolated within a specific version, preventing overlap and conflict. Setting up a branch ruleset for each team further isolates development work, allowing parallel development streams that can later be merged back into the main application ruleset. These two options, when used together, provide the most flexibility for teams working on separate enhancements with uncertain release dates."
118,multiple-choice,In which situation do you configure branched rulesets?  One team creates a new patch for an application while another team creates a new major version of the application. You need to delegate rules to process owners from the business. Multiple teams need to work on the same application version. A team needs to work on the next version of an application while preparing to migrate the current version.,,,,,,,,C,,,,"Branched rulesets are used when multiple teams need to work on the same application version simultaneously. Each team can work in their own branch, allowing for concurrent development without affecting the main application until the branches are merged."
119,multiple-choice,"A budgeting application uses a job scheduler to automatically email customers once a week with a breakdown of their weekly expenses. Due to the international usage of the application, stakeholders require peak performance at all hours. Which solution addresses this performance concern?   Configure the job scheduler to run at off-hours. Ensure that customers use a common access group. Dedicate and classify a node for the job scheduler. Limit the number of operators who can access the application.",,,,,,,,C,,,,"Dedicating and classifying a node for the job scheduler allows the job scheduler to run on a node that is optimized for batch processing. This ensures that resource-intensive jobs do not impact the performance of the user nodes, thus maintaining peak performance at all hours."
120,multiple-choice,Which two value types can be used in an Application Setting when modifying values for each production level? (Choose Two)  Data transform Text Picklist Class,,,,,,,,B,C,,,"In Application Settings, you can specify different values for production levels using text (e.g., URLs, file paths) or picklists (for selecting from predefined options). These settings allow for easy adjustment of values according to the environment the application is running in."
121,multiple-choice,A Pega PlatformTM application has just been integrated with an external data source. Which of the following tests do you perform to ensure that the integration passes data as expected?  Scenario test Automation test Performance test Unit test,,,,,,,,D,,,,"Unit tests are the first line of testing when ensuring that an integration passes data as expected. They are designed to test individual parts of the code -- in this case, the integration point with an external data source -- to confirm that it works properly in isolation."
122,multiple-choice,Which two statements about keyed data pages are true? (Choose Two)  A keyed data page is required for all data pages. A keyed data page can use a report definition. A keyed data page can return multiple embedded pages. A keyed data page can have multiple keys.,,,,,,,,C,D,,,"Keyed data pages can return multiple embedded pages if the data structure includes lists or other page structures. They can also have multiple keys, which allows them to return data based on a combination of key values."
123,multiple-choice,DRAG DROP (Drag and Drop is not supported) Drag the error type on the left to its description on the right.  See Explanation section for answer.,,,,,,,,A,,,,The correct match for each error type to its description is: Transient Errors -> These errors usually correct themselves over time. Permanent Errors -> These errors are typically due to a configuration error or an error in the remote application logic.
124,multiple-choice,In which example would you use the application settings feature?  A. A data page is available across multiple user sessions and is updated once a day. An IT service application stores a list of operating systems using a Pega system of record. A weather service application points to a web service for weather data. A manager can update the price of a service without a developer editing the application.,A data page is available across multiple user sessions and is updated once a day.,,,,,,,C,,,,"Application settings are used to point to external resources that can change without requiring changes to the application code. For example, a weather service application might use application settings to specify the URL of a web service for weather data."
125,multiple-choice,You are sending information to an external system of record by using a connector. What do you use to implement this requirement?  Call a connector from a Save data page step. Create a new external data source. Configure a service rule and listener. Reference a connector from a data transform.,,,,,,,,D,,,,"To send information to an external system of record using a connector, you would typically reference a connector from within a data transform. The data transform can manipulate the data as needed before it is sent out through the connector."
126,multiple-choice,In which log can you see performance-related alerts that are triggered when an operation exceeds the specified performance threshold7  ALERTSECURITY log PEGA log ALERT log BIX log,,,,,,,,C,,,,"Performance-related alerts are recorded in the ALERT log. This log contains entries for operations that exceed specified performance thresholds, providing insights into potential  performance issues."
127,multiple-choice,Which two situations are likely to negatively impact application performance? (Choose Two)  A report definition generates report data based on several properties stored in the BLOB. Business architects have delegated a large number of rules to process owners. A developer uses an SQL query tool or activities to archive case data before purging tables. Several applications on the system write cases to the pr_other table in the database.,,Business architects have delegated a large number of rules to process owners.,,,,,,A,C,,,"Generating report data based on several properties stored in the BLOB (Binary Large Object) can impact performance because it requires full database table scans. Using SQL query tools or activities to archive case data before purging tables can also negatively impact performance, as they may not be optimized for the Pega Platform's data structures."
128,multiple-choice,You have identified an activity that does not perform well. You need to find out exactly which steps in the activity are causing the poor performance. Which tool allows you to identify the cause of the performance issue?  Database Trace Performance Analyzer (PAL) Tracer Performance Profiler,,,,,,,,C,,,,The Tracer tool is designed to debug the execution of rules by providing detailed runtime information about each step within a rule. This allows you to identify performance issues at the step level within an activity.
129,multiple-choice,Consider the following requirement: Car dealers cannot modify orders in the Fulfillment stage. Which security solution do you use to satisfy the requirement?  Access of Role to Object Access When Access group  Access Deny,,,,,,,,A,,,,"Access of Role to Object (ARO) is used to define the level of access that a role has to instances of a class. In this case, an ARO can be created for the car dealers' role to restrict modify access to orders in the Fulfillment stage."
130,multiple-choice,How do you enable field-level auditing for properties?  Add a field validation to the case workflow. Add an auditing optional action to the case workflow. Enable the auditing feature on the property rule forms. Enable field-level auditing for the case type.,,,,,,,,C,,,,"Field-level auditing is enabled directly on the property rule form, where you can specify that changes to the property should be audited. This ensures that any changes to the field are tracked and recorded."
131,multiple-choice,Which three types of information can represent an attribute in attribute-based access control (ABAC)' (Choose Three)  List of strings Property Boolean Single string Numerical value,,,,,,,,B,C,D,,"In attribute-based access control (ABAC), an attribute can be a property (such as an age or status), a Boolean value (indicating true or false conditions), or a single string (such as a name or identifier). These attributes are evaluated to determine access rights within the application."
132,multiple-choice,Which statement about managing encrypted data in Pega Platform is true?   Each organization uses a custom key to encrypt its data. Filter conditions cannot reference encrypted properties in reports. Property-level encryption is a time-efficient method to encrypt data. Encryption policies apply to Work- and Data- classes only.,,,,,,,,B,,,,"When properties are encrypted in Pega Platform, they cannot be used in filter conditions for reports because the data is in a non-readable format. To apply filters, the data must be decrypted, which is not typically done within the reporting tool."
133,multiple-choice,"In an online shopping application, you enable class-level encryption for the entire case type and optimize First Name, Last Name, Social Security number (SSN), Total Cart, and Account Number properties for reporting. To secure sensitive data, how do you enable property-level encryption for SSN and Account Number?  Create a PropertyEncrypt data transform, and then add the properties. Create a PropertyEncrypt access control policy, and then add the properties. Create a TextEncrypted property type, and then add the properties. Update the class-level encryption to enable property-level encryption.",,,,,,,,B,,,,"To enable property-level encryption for sensitive data such as SSN and Account Number, you create an Access Control Policy of type PropertyEncrypt. This policy specifies which properties should be encrypted and how the encryption should be applied."
134,multiple-choice,A courier company wants to create a mobile app to scan and track the parcels collected from remote areas that are without internet access. Which mobile app do you develop to fulfill the requirement?  SDK app Native app Unsigned app Signed app,,,,,,,,B,,,,A native app is suitable for remote areas without internet access because it can be installed on the device and has the capability to function offline. This allows the courier company employees to scan and track parcels regardless of internet connectivity.
135,multiple-choice,Which two methods allow you to identify the Pega Platform application type? (Choose Two)  View the Settings tab of the case designer. View the Application layers widget for the ruleset stack. View the Application definition rule. View the portals used by the application.,,,,,,,,B,C,,,"The application type can often be identified by viewing the Application layers widget for the ruleset stack, which gives an overview of how the application is structured, and by viewing the Application definition rule, which provides detailed information about the application's setup and its components."
136,multiple-choice,Which two configurations must you make when you add a Split for Each shape to your case life cycle? (Choose Two)  Enter a unique name for the shape in the Split for Each field. Define a condition to control when the flow runs for each iteration of the subprocess. Enter the Page List or Page Group property that is the basis of the split. Define when the parent process resumes processing.,,,,,,,,C,D,,,"When adding a Split for Each shape to your case life cycle, you must specify the Page List or Page Group property that forms the basis of the split and define when the parent process resumes processing after the iterations of the subprocess are complete."
137,multiple-choice,DRAG DROP (Drag and Drop is not supported) You decide to use multiple pre-processing actions on a single flow action. Place the pre- processing actions in the order in which they are executed.     See Explanation section for answer.,,,,,,,,A,,,,"In Pega Platform, when configuring multiple pre-processing actions on a single flow action, the order of execution is as follows: Execution Order: Apply data transform Run activity Run robotic automation This sequence is based on the typical order in which Pega processes these types of actions: data transforms are applied first to set initial values or transform the data as needed, followed by the execution of any activities for more complex processing, and finally, any configured robotic automation is run."
138,multiple-choice,"An assignment service-level agreement (SLA) is configured with the following details: Initial urgency: 20 Assignment ready: Timed delay of 1 hour Goal: 5 hours and increase urgency by 10 Deadline: 8 hours and increase urgency by 20 Passed deadline: 2 hours, increase urgency by 20, and limit events to 5 Assuming no other urgency adjustments, what is the assignment urgency 16 hours after the case reaches the assignment.  100 130 70 90",is configured with the following details: Initial urgency: 20,,,,,,,B,,,,"The initial urgency is set at 20. At 5 hours, the urgency increases by 10 (total 30). At 8 hours, the urgency increases by 20 (total 50). After the deadline, the urgency increases by 20 every 2 hours, up to a limit of 5 events. By 16 hours, all 5 events have occurred, adding 100 to the urgency, leading to a total urgency of 150 (initial 20 + goal 10 + deadline 20 + passed deadline 100)."
139,multiple-choice,Which two options do you consider when creating a pre-processing data transform? (Choose Two)  The timing of the commit for the flow action The potential reuse of the flow action The security setting for the flow action The effect if the flow action is reloaded,,,,,,,,A,D,,,"When creating a pre-processing data transform, you should consider the timing of the commit for the flow action and the effect if the flow action is reloaded. These factors can impact how the data transform processes data and how it integrates with the flow action's lifecycle."
140,multiple-choice,"In the hierarchy of a single organization, which statement about the relationship between organizational elements is true?  A work queue belongs to a single operator record. A unit can belong to multiple organizations. An operator record can belong to multiple units. A work group can have more than one manager.",,,,,,,,D,,,,"In the organizational hierarchy of Pega Platform, a work group can indeed have more than one manager, allowing for shared management responsibilities and coverage."
141,multiple-choice,You are integrating two Pega Web Mashups into a client's mortgage loan financing page. What do you configure to successfully embed both mashups?  Load both mashups simultaneously. Define identical URLs for each mashup. Identify unique names for each mashup. Run the mashups on the same thread.,,,,,,,,C,,,,"When integrating multiple Pega Web Mashups into a single page, it is necessary to identify unique names for each mashup to ensure that they are embedded and function independently without conflict on the client's page."
